num,initiator_list,days_total,days_per_stage_avg,result_stage,stage_days_1,stage_days_2,stage_days_3,stage_days_4,stage_days_5,stage_days_6,stage_days_7,stage_days_8,stage_workdays_1,stage_workdays_2,stage_workdays_3,stage_workdays_4,stage_workdays_5,stage_workdays_6,stage_workdays_7,stage_workdays_8,stage_break_days_1,stage_break_days_2,stage_break_days_3,stage_break_days_4,stage_break_days_5,stage_break_days_6,stage_break_days_7,stage_break_days_8,stage_break_workdays_1,stage_break_workdays_2,stage_break_workdays_3,stage_break_workdays_4,stage_break_workdays_5,stage_break_workdays_6,stage_break_workdays_7,stage_break_workdays_8,is_federal,is_deputy,is_ex_deputy,is_ex_counsil_member,is_council_member,is_legislature
163840-7,"['5c77c6e5fed91f583dd7af93', '5c77c6e5fed91f583dd7af90']",44,11,2.1,23,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0
164099-7,['5c77c6ebfed91f583dd7b2c0'],43,15,2.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1
939-7,"['5c77c6d7fed91f583dd7a812', '5c77c6dafed91f583dd7a999', '5c77c6d6fed91f583dd7a799', '5c77c6d7fed91f583dd7a825', '5c77c6d6fed91f583dd7a798', '5c77c6d5fed91f583dd7a71f', '5c77c6d5fed91f583dd7a724', '5c77c6d5fed91f583dd7a771', '5c77c6d5fed91f583dd7a774', '5c77c6d6fed91f583dd7a780', '5c77c6d6fed91f583dd7a791', '5c77c6d6fed91f583dd7a7e7', '5c77c6d7fed91f583dd7a822', '5c77c6d7fed91f583dd7a82d', '5c77c6d7fed91f583dd7a857', '5c77c6d7fed91f583dd7a85e', '5c77c6d8fed91f583dd7a891', '5c77c6d8fed91f583dd7a89b', '5c77c6d8fed91f583dd7a8ac', '5c77c6d8fed91f583dd7a8b2', '5c77c6d8fed91f583dd7a8c2']",251,11,3.3,3,22,102,0,0,0,0,0,1,11,69,0,0,0,0,0,71,55,0,0,0,0,0,0,51,38,0,0,0,0,0,0,0,1,20,0,0,0
940220-6,['5c77c6d7fed91f583dd7a86e'],565,52,3.3,3,296,22,0,0,0,0,0,1,204,14,0,0,0,0,0,15,231,0,0,0,0,0,0,11,157,0,0,0,0,0,0,0,0,1,0,0,0
401-7,"['5c77c6d7fed91f583dd7a812', '5c77c6dafed91f583dd7a999', '5c77c6d6fed91f583dd7a799', '5c77c6d7fed91f583dd7a825', '5c77c6d6fed91f583dd7a798', '5c77c6d5fed91f583dd7a71f', '5c77c6d5fed91f583dd7a724', '5c77c6d5fed91f583dd7a771', '5c77c6d5fed91f583dd7a774', '5c77c6d6fed91f583dd7a780', '5c77c6d6fed91f583dd7a791', '5c77c6d6fed91f583dd7a7e7', '5c77c6d7fed91f583dd7a822', '5c77c6d7fed91f583dd7a82d', '5c77c6d7fed91f583dd7a857', '5c77c6d7fed91f583dd7a85e', '5c77c6d8fed91f583dd7a891', '5c77c6d8fed91f583dd7a89b', '5c77c6d8fed91f583dd7a8ac', '5c77c6d8fed91f583dd7a8b2', '5c77c6d8fed91f583dd7a8c2']",253,29,3.3,130,7,7,0,0,0,0,0,88,0,-1,0,0,0,0,0,-101,210,0,0,0,0,0,0,-67,142,0,0,0,0,0,0,0,1,20,0,0,0
984635-6,['5c77c6d6fed91f583dd7a7f9'],503,32,3.3,503,225,91,0,0,0,0,0,346,158,57,0,0,0,0,0,-476,161,0,0,0,0,0,0,-328,109,0,0,0,0,0,0,0,0,1,0,0,0
137225-7,['5c77c6ebfed91f583dd7b2a2'],76,26,2.1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1
564952-6,"['5c77c6dffed91f583dd7ac73', '5c77c6dafed91f583dd7a97d', '5c77c6e2fed91f583dd7add8', '5c77c6e3fed91f583dd7ae0d', '5c77c6d5fed91f583dd7a72b', '5c77c6d5fed91f583dd7a733', '5c77c6d5fed91f583dd7a76d', '5c77c6d5fed91f583dd7a762', '5c77c6d8fed91f583dd7a8d7', '5c77c6e5fed91f583dd7af39', '5c77c6defed91f583dd7abea', '5c77c6d6fed91f583dd7a7d5', '5c77c6d6fed91f583dd7a7cf', '5c77c6e3fed91f583dd7ae7f', '5c77c6d5fed91f583dd7a745', '5c77c6d8fed91f583dd7a8a6', '5c77c6d5fed91f583dd7a724', '5c77c6defed91f583dd7abd7', '5c77c6e2fed91f583dd7ade8', '5c77c6d6fed91f583dd7a784']",1069,45,3.2,1065,7,814,0,0,0,0,0,736,0,562,0,0,0,0,0,-875,60,0,0,0,0,0,0,-601,41,0,0,0,0,0,0,0,9,11,0,0,0
377406-6,['5c77c6d5fed91f583dd7a716'],1315,132,3.2,1309,7,1224,0,0,0,0,0,898,0,846,0,0,0,0,0,-1300,76,0,0,0,0,0,0,-896,49,0,0,0,0,0,0,1,0,0,0,0,0
145507-7,"['5c77c6d7fed91f583dd7a810', '5c77c6d7fed91f583dd7a870', '5c77c6d5fed91f583dd7a751']",60,12,2.1,15,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0
